aatteellinen yhdistys;Not for Profit Organization
aikakauslehti;News Service
aikuislukio;School (K12) or School District
aikuisopisto;University or College
ainejärjestö;Association or Society
ajatushautomo;Other to be defined
akatemia;Research project or research group
alakoulu;School (K12) or School District
alayksikkö;Other to be defined
alioikeus;Government Agency or Department
alue (hallintoalue);Other to be defined
aluekeskus;Government Agency or Department
aluesairaala;Hospital or Health Agency
aluetaidemuseo;Museum or Historical Society
alus;Other to be defined
alusmaa;Other to be defined
ammatillinen oppilaitos;University or College
ammattikorkeakoulu;University or College
ammattikorkeakoulun yksikkö;Other to be defined
ammattikoulu;University or College
ammattikunta;Other to be defined
ammattiliitto;Not for Profit Organization
ammattilinen oppilaitos;University or College
ammattioppilaitos;University or College
ammattiyhdistys;Not for Profit Organization
apteekki;Hospital or Health Agency
arkisto;Archive or Special Collection
arkistolaitos;Archive or Special Collection
arkkitehtitoimisto;For Profit Corporation
armeija;Other to be defined
armeijakunta;Other to be defined
asiamies (viranomainen);Government Agency or Department
asiantuntijajärjestö;Association or Society
asiantuntijakeskus;Other to be defined
asiantuntijalaitos;Other to be defined
asuinyhteisö;Association or Society
asunto-osakeyhtiö;For Profit Corporation
atk-keskus;Service Provider
autolautta;Other to be defined
autoliike;Retailer
automuseo;Museum or Historical Society
avaruusohjelma;Research project or research group
avoin yliopisto;University or College
baari;Other to be defined
big band;Musical group or band
blogi;Other to be defined
divisioona;Other to be defined
duo;Musical group or band
eduskuntaryhmä;Government Agency or Department
edustusto;Other to be defined
elokuva-arkisto;Archive or Special Collection
elokuvakerho;Association or Society
eläinsairaala;Hospital or Health Agency
eläkekassa;For Profit Corporation
eläkelaitos;For Profit Corporation
energialaitos;For Profit Corporation
erikoiskirjasto;Academic Library
erityiskoulu;School (K12) or School District
erityistuomioistuin;Government Agency or Department
esikunta;Other to be defined
esittäjäryhmä;Performing group
eskadroona;Other to be defined
etujärjestö;Association or Society
festivaali;Other to be defined
finanssiryhmä;For Profit Corporation
galleria;Museum or Historical Society
hallintoelin;Government Agency or Department
hallintotuomioistuin;Government Agency or Department
hallintovirasto;Government Agency or Department
hallitus (toimielin);Government Agency or Department
hallitus (valtion hallitus);Government Agency or Department
hanke;Research project or research group
harjoittelukoulu;School (K12) or School District
harmonikkaorkesteri;Musical group or band
harmonikkayhtye;Musical group or band
harrastajateatteri;Performing group
harrastusryhmä;Association or Society
henkikirjoittaja (viranomainen);Government Agency or Department
henkilöyhtiö;For Profit Corporation
hiihtokeskus;Other to be defined
hiippakunta;Other to be defined
hiippakuntakokous;Other to be defined
hoitokunta;Other to be defined
hoitolaitos;Hospital or Health Agency
hotelli;For Profit Corporation
huilukvartetti;Musical group or band
huvipuisto;Other to be defined
iltakoulu;School (K12) or School District
iltalukio;School (K12) or School District
instituutti;Research project or research group
investointipankki;For Profit Corporation
itsehallintoalue;Other to be defined
jaosto;Other to be defined
johtokunta;Other to be defined
johtoryhmä;Other to be defined
joukko-osasto;Other to be defined
jousikvartetti;Musical group or band
jousikvintetti;Musical group or band
jousiorkesteri;Musical group or band
jousitrio;Musical group or band
jousiyhtye;Musical group or band
julkaisija;Publisher
julkaisupalvelu;Online Content Provider
julkinen hallinto;Government Agency or Department
julkinen osakeyhtiö;For Profit Corporation
julkisoikeudellinen laitos;Government Agency or Department
julkisoikeudellinen yhteisö;Association or Society
julkisyhteisö;Not for Profit Organization
järjestysoikeus;Government Agency or Department
järjestö;Not for Profit Organization
jätehuoltolaitos;For Profit Corporation
jääkiekkoseura;Association or Society
kaivos;For Profit Corporation
kaivosalue;Other to be defined
kalanviljelylaitos;For Profit Corporation
kamarikuoro;Musical group or band
kamariorkesteri;Musical group or band
kamariyhtye;Musical group or band
kanava;Other to be defined
kansainvälinen järjestö;Not for Profit Organization
kansainvälinen yhteisö;Association or Society
kansakoulu;School (K12) or School District
kansalaisopisto;University or College
kansallisarkisto;Archive or Special Collection
kansalliskirjasto;Academic Library
kansamusiikkiyhtye;Musical group or band
kansanedustuslaitos;Government Agency or Department
kansanmusiikkiyhteisö;Musical group or band
kansanmusiikkiyhtye;Musical group or band
kansanopisto;University or College
kansantanssiyhtye;Performing group
kansanteatteri;Performing group
kanteleorkesteri;Musical group or band
kanteleyhtye;Musical group or band
kasvatuslaitos;Other to be defined
kaupanvahvistaja (viranomainen);Government Agency or Department
kauppa;Retailer
kauppahuone;For Profit Corporation
kauppakamari;Other to be defined
kauppakeskus;Retailer
kauppaketju;Retailer
kauppakomppania;For Profit Corporation
kauppakorkeakoulu;University or College
kauppala;Government Agency or Department
kauppaoppilaitos;University or College
kaupungin laitos;Other to be defined
kaupungin liikelaitos;Other to be defined
kaupunginarkisto;Archive or Special Collection
kaupunginteatteri;Performing group
kaupunki;Government Agency or Department
kehittämiskeskus;Other to be defined
kehittämisorganisaatio;Other to be defined
kehitysverkosto;Other to be defined
kehitysyhteistyö- ja avustusjärjestö;Not for Profit Organization
kerho;Association or Society
keskikoulu;School (K12) or School District
keskinäinen vakuutusyhtiö;For Profit Corporation
keskitysleiri;Other to be defined
keskuskoulu;School (K12) or School District
keskuslaitos;Other to be defined
keskuspankki;For Profit Corporation
keskussairaala;Hospital or Health Agency
keskusvirasto;Government Agency or Department
kesäteatteri;Performing group
kielikeskus;Research project or research group
kierrätyskeskus;Other to be defined
kihlakunta;Other to be defined
kiinteistöosakeyhtiö;For Profit Corporation
kiinteistöyhtiö;For Profit Corporation
kilparata;Other to be defined
kilta;Association or Society
kirjailijaryhmä;Association or Society
kirjakauppa;Retailer
kirjakerho;Retailer
kirjallisuuspiiri;Association or Society
kirjapaino;Other to be defined
kirjasto;Library
kirjoittajapiiri;Association or Society
kirjoittajaryhmä;Association or Society
kirkko (instituutio);Other to be defined
kirkko;Other to be defined
kirkkokunta;Other to be defined
kirkkokuoro;Musical group or band
kirkkoneuvosto;Other to be defined
kirkollinen yhteisö;Association or Society
kirkolliskokoukset;Other to be defined
kirkolliskokous;Other to be defined
kirkon hallinto;Other to be defined
kirkon hallintoelin;Other to be defined
kirkon toimielin;Other to be defined
kirkon yksikkö;Other to be defined
kitaraduo;Musical group or band
kitarayhtye;Musical group or band
klinikka (sairaalat);Hospital or Health Agency
kokoelma;Archive or Special Collection
kokous;Other to be defined
kollektiivi;Association or Society
komitea;Other to be defined
kommandiittiyhtiö;For Profit Corporation
komppania;Other to be defined
konepaja;For Profit Corporation
konferenssi;Other to be defined
konkurssipesä;Other to be defined
konserni;For Profit Corporation
konservatorio;University or College
konsortio;Consortium or Collaborative
korkeakoulu;University or College
korkeakoulukirjasto;Academic Library
korkeakoulun laitos;University or College
korkeakoulun yksikkö;University or College
kosketinsoitinyhtye;Musical group or band
kotimuseo;Museum or Historical Society
kotiseutuarkisto;Archive or Special Collection
kotiseutuyhdistys;Not for Profit Organization
koulu;School (K12) or School District
koululaitos;School (K12) or School District
koululuokka;Other to be defined
koulupiiri;School (K12) or School District
koulutuskeskus;Other to be defined
kouluyhteisö;Association or Society
kreivikunta;Other to be defined
kriisikeskus;Other to be defined
kruununvouti (viranomainen);Government Agency or Department
kulttuurihistoriallinen museo;Museum or Historical Society
