Alayhteisö;hasUnit
Henkilöjäsen yhteisössä;isMemberOf
Henkilön perustama yhteisö;isMemberOf
Jakautumisesta muodostunut yhteisö;isSupersededBy
Jakautunut yhteisö;supersedes
Jäsen;hasMember
Kanssayhdistyjä;isRelatedTo
Kattoyhteisö;isUnitOf
Laajempi emoyhtiö;isUnitOf
Pääjohtaja;see also from
Pääjohtajana yhteisössä;isMemberOf
Paikallinen tytäryhtiö;hasUnit
Perustaja;isRelatedTo
Perustajayhteisö;isRelatedTo
Perustanut yhteisön;isMemberOf
Sulautunut yhteisö;supersedes
Sulautunut yhteisöön;isSupersededBy
Sulautunut yhtiöön;isSupersededBy
Todellinen identiteetti;real name
Toinen identiteetti;pseud
Yhdistymisestä muodostunut yhteisö;isSupersededBy
Yhdistynyt;isSupersededBy
Yhdistynyt yhteisö;supersedes
Yhteisö;isMemberOf
Yhteisön jäsenyhteisö;hasMember
Yhteisön laajempi jäsenyhteisö;hasMember
Yhteisön laajempi jäsenyhteisö;isUnitOf
Yhteisön perustama yhteisö;isRelatedTo
Yhteisön perustanut yhteisö;isRelatedTo
Yhteisöön liittyvä yhteisö ;isRelatedTo
Yhteisöön yhdistynyt;supersedes
